feature,mean_abs_shap
numeric__day,0.20538002
categorical__housing_no,0.17442764
numeric__balance,0.15625905
numeric__age,0.12265897
numeric__campaign,0.11234676
categorical__month_may,0.10746311
categorical__poutcome_failure,0.0980283
categorical__month_apr,0.09761827
categorical__poutcome_success,0.09118465
numeric__pdays,0.08673382
categorical__marital_married,0.085007764
categorical__education_tertiary,0.069903664
categorical__loan_no,0.05624415
categorical__month_feb,0.05469194
categorical__month_oct,0.05307758
numeric__previous,0.05224368
categorical__month_mar,0.050951622
categorical__month_sep,0.041905027
categorical__marital_single,0.037125453
categorical__contact_cellular,0.03198125
categorical__housing_yes,0.031324502
categorical__education_primary,0.031193554
categorical__month_jul,0.030072195
categorical__marital_divorced,0.027586373
categorical__month_nov,0.025159549
categorical__poutcome_other,0.024187049
categorical__job_blue-collar,0.018360524
categorical__month_aug,0.017683458
categorical__month_dec,0.016997255
categorical__month_jun,0.0154656805
categorical__loan_yes,0.013760855
categorical__job_housemaid,0.013119679
categorical__month_jan,0.00953731
categorical__job_unemployed,0.009374112
categorical__age_group_36-45,0.008673446
categorical__age_group_46-55,0.0074107056
categorical__job_technician,0.006048198
categorical__job_entrepreneur,0.0054248692
categorical__age_group_26-35,0.005353231
numeric__balance_group,0.0051499167
categorical__age_group_56-65,0.0051455414
categorical__job_admin.,0.004242552
categorical__education_secondary,0.0035641114
categorical__job_management,0.0035081827
categorical__default_no,0.002575511
categorical__job_self-employed,0.002381871
categorical__job_retired,0.0022761137
categorical__job_student,0.0022639025
numeric__high_campaign_contact,0.0014951571
categorical__job_services,0.0012261498
numeric__has_previous_contact,0.00094288506
categorical__age_group_66+,0.00018553736
categorical__contact_telephone,0.00018415201
categorical__default_yes,0.0
categorical__age_group_18-25,0.0
